Season;Date;HomeTeam;AwayTeam;Score;FTHG;FTAG;Odds_1;Odds_x;Odds_2;Explore_id;FTR
Handbollsligan 2017/2018;18/02/2018;Hammarby;Guif;22:25;22;25;1.90;8.34;2.27;MifSTuin;A
Handbollsligan 2017/2018;18/02/2018;Karlskrona;Ricoh;32:27;32;27;2.50;7.91;1.78;j9ocWvCi;H
Handbollsligan 2017/2018;16/02/2018;Ystads IF;Savehof;29:30;29;30;1.70;8.49;2.64;bZl5UIt4;A
Handbollsligan 2017/2018;15/02/2018;Alingsas;Malmo;19:26;19;26;1.76;7.96;2.51;pWp1VbRc;A
Handbollsligan 2017/2018;15/02/2018;Skovde;Kristianstad;26:26;26;26;8.41;15.07;1.11;tbvATxdA;D
Handbollsligan 2017/2018;13/02/2018;Guif;Aranas;29:28;29;28;1.05;19.38;12.73;CIngXKdo;H
Handbollsligan 2017/2018;12/02/2018;Malmo;Skovde;32:25;32;25;1.07;17.70;11.53;YXWjteOI;H
Handbollsligan 2017/2018;12/02/2018;Redbergslids;Alingsas;33:28;33;28;1.92;8.10;2.26;4zQDAIjO;H
Handbollsligan 2017/2018;11/02/2018;Ricoh;Ystads IF;26:28;26;28;3.08;8.54;1.55;rROH9x6U;A
Handbollsligan 2017/2018;11/02/2018;Savehof;Helsingborg;30:27;30;27;1.05;18.82;12.79;AcfKOSho;H
Handbollsligan 2017/2018;08/02/2018;Kristianstad;Hammarby;27:25;27;25;1.09;16.55;9.53;Q7TrrHg6;H
Elitserien 2015/2016;09/03/2016;Ystads IF;Malmo;28:28;28;28;1.50;9.15;3.21;SxJnijpO;D
Elitserien 2015/2016;07/03/2016;Ricoh;Aranas;30:20;30;20;1.35;10.20;3.97;fB5ugCFB;H
Elitserien 2015/2016;07/03/2016;Ystads IF;Hammarby;33:20;33;20;1.42;10.01;3.50;CfliR2Q1;H
Elitserien 2015/2016;04/03/2016;Karlskrona;Lugi;27:30;27;30;3.99;10.16;1.35;CnGzfh05;A
Elitserien 2015/2016;03/03/2016;Aranas;Guif;25:31;25;31;3.06;9.60;1.52;4MCSeEVh;A
Elitserien 2015/2016;02/03/2016;Alingsas;Ystads IF;19:27;19;27;1.46;9.24;3.36;8fJJcz1t;A
Elitserien 2015/2016;02/03/2016;Hammarby;Drott;30:26;30;26;1.05;16.72;12.54;6oXi2GhP;H
Elitserien 2015/2016;02/03/2016;Kristianstad;Ricoh;27:22;27;22;1.02;20.84;18.55;bqCWfYpa;H
Elitserien 2015/2016;02/03/2016;Redbergslids;Skovde;29:29;29;29;1.14;13.38;7.47;QVDOdfGn;D
Elitserien 2013/2014;06/03/2014;Malmo;Lund;24:27;24;27;1.18;12.62;5.85;QkliaXtN;A
Elitserien 2013/2014;05/03/2014;Guif;Kristianstad;34:21;34;21;1.87;8.65;2.25;McTRhVJj;H
Elitserien 2013/2014;05/03/2014;Lugi;Onnereds;31:26;31;26;1.04;17.13;13.27;z1H9HEdi;H
Elitserien 2013/2014;05/03/2014;Savehof;Hammarby;32:32;32;32;1.36;10.35;3.79;WSAIFhR3;D
Elitserien 2013/2014;05/03/2014;Ystads IF;Drott;31:28;31;28;1.65;9.05;2.63;ANPNgB4p;H
Elitserien 2013/2014;03/03/2014;Drott;Rimbo;38:31;38;31;1.18;12.48;5.96;fygMKp87;H
Elitserien 2013/2014;03/03/2014;Skovde;Malmo;26:27;26;27;2.15;8.61;1.95;rin4qUp8;A
Elitserien 2013/2014;03/03/2014;Lund;Alingsas;22:35;22;35;4.30;11.28;1.29;GpfILQh1;A
Elitserien 2013/2014;03/03/2014;Redbergslids;Savehof;24:31;24;31;1.78;8.84;2.38;Qe15OS8r;A
Elitserien 2011/2012;29/02/2012;Lugi;Alingsas;23:23;23;23;1.92;8.91;2.13;Oj6gb3HI;D
Elitserien 2011/2012;29/02/2012;Malmo;Hammarby;24:20;24;20;1.16;13.45;5.87;2s5ccNWO;H
Elitserien 2011/2012;29/02/2012;Redbergslids;Skovde;25:21;25;21;1.94;8.84;2.10;tlh3E4ng;H
Elitserien 2011/2012;29/02/2012;Tumba;Guif;23:30;23;30;5.46;12.49;1.19;WE2TK69P;A
Elitserien 2011/2012;29/02/2012;Ystads IF;Savehof;24:30;24;30;2.41;9.06;1.72;YNleGQHt;A
Elitserien 2011/2012;26/02/2012;Hammarby;Skovde;22:26;22;26;2.76;9.83;1.56;Y1Dt15Xa;A
Elitserien 2011/2012;22/02/2012;Alingsas;Tumba;29:21;29;21;1.10;14.74;7.87;xnAg8muQ;H
Elitserien 2011/2012;22/02/2012;Guif;Redbergslids;32:24;32;24;1.22;11.88;5.11;rTnM37ms;H
Elitserien 2011/2012;22/02/2012;Kristianstad;Aranas;26:30;26;30;1.24;11.65;4.82;MJoQ2R2m;A
Elitserien 2010/2011;27/02/2011;Lund;Redbergslids;26:27;26;27;;;;jZk48sDQ;A
Elitserien 2010/2011;27/02/2011;Ystads IF;Lindesberg;34:25;34;25;;;;hrxW31Ls;H
Elitserien 2010/2011;26/02/2011;Aranas;Kristianstad;32:23;32;23;;;;dCj09NcK;H
Elitserien 2010/2011;25/02/2011;Lugi;Ystads IF;31:22;31;22;;;;r9ndA3rE;H
Elitserien 2010/2011;23/02/2011;Drott;Aranas;33:31;33;31;;;;QTXglMLf;H
Elitserien 2010/2011;23/02/2011;Guif;Savehof;29:26;29;26;;;;beo1n0j7;H
Elitserien 2010/2011;23/02/2011;Kristianstad;Malmo;27:24;27;24;;;;r5rkk26l;H
Elitserien 2010/2011;23/02/2011;Lindesberg;Lund;40:30;40;30;;;;QqGxjrir;H
Elitserien 2009/2010;03/03/2010;Lund;Hammarby;24:29;24;29;1.81;8.98;2.29;6JPFQlPk;A
Elitserien 2009/2010;01/03/2010;Lindesberg;Savehof;22:40;22;40;3.15;10.16;1.45;IBzWqwQA;A
Elitserien 2009/2010;01/03/2010;Lugi;Helsingborg;28:33;28;33;1.14;13.05;6.32;zX2rqcuH;A
Elitserien 2009/2010;01/03/2010;Redbergslids;Skovde;30:26;30;26;1.71;8.93;2.45;SSQBRU9q;H
Elitserien 2009/2010;28/02/2010;Malmo;Guif;30:26;30;26;2.63;9.86;1.61;ddnNoaeb;H
Elitserien 2009/2010;28/02/2010;Drott;Ystads IF;21:23;21;23;1.57;10.19;2.74;0xuTXuRb;A
Elitserien 2009/2010;25/02/2010;Kristianstad;Drott;24:28;24;28;2.07;8.53;1.97;4IoOOylo;A
Elitserien 2009/2010;24/02/2010;Guif;Redbergslids;34:27;34;27;1.25;11.98;4.60;fqdlVwBH;H
Elitserien 2008/2009;16/02/2009;Redbergslids;Savehof;32:26;32;26;3.52;11.55;1.36;61B1YwrO;H
Elitserien 2008/2009;16/02/2009;Trelleborg;Lugi;35:24;35;24;3.31;11.50;1.41;phA5XccU;H
Elitserien 2008/2009;15/02/2009;Guif;Lindesberg;37:22;37;22;1.39;11.53;3.40;hSQd8J6n;H
Elitserien 2008/2009;14/02/2009;Tumba;Skovde;24:28;24;28;5.74;13.42;1.16;SMA9lnnj;A
Elitserien 2008/2009;12/02/2009;Drott;Hammarby;28:32;28;32;2.98;10.68;1.47;GABbq1WM;A
Elitserien 2008/2009;11/02/2009;Ystads IF;Alingsas;22:33;22;33;1.41;10.63;3.30;ttBc4Tyh;A
Elitserien 2008/2009;09/02/2009;IFK Ystads;Redbergslids;26:39;26;39;5.02;13.05;1.21;lnhh26gG;A
Elitserien 2008/2009;09/02/2009;Savehof;Trelleborg;35:28;35;28;1.04;16.79;13.43;4tqUpvOr;H
Elitserien 2008/2009;09/02/2009;Skovde;Lund;29:32;29;32;1.49;10.55;2.93;fPhl3nvA;A
Elitserien 2004/2005;25/02/2005;Skovde;Savehof;38:38;38;38;1.78;9.99;2.27;rVtjaRpK;D
Elitserien 2004/2005;23/02/2005;Djurgardens;Tumba;22:29;22;29;1.90;9.99;2.07;4MlG3tx6;A
Elitserien 2004/2005;23/02/2005;Drott;Lund;33:22;33;22;1.14;9.99;5.88;0lrP1K6I;H
Elitserien 2004/2005;23/02/2005;Guif;Hammarby;32:28;32;28;2.43;9.99;1.66;rDmK20iC;H
Elitserien 2004/2005;23/02/2005;Lugi;Kroppskultur;32:30;32;30;1.45;9.99;3.05;SzMxLs7t;H
Elitserien 2004/2005;23/02/2005;Savehof;Redbergslids;37:31;37;31;1.14;9.99;5.88;hrVAPNbP;H
Elitserien 2004/2005;23/02/2005;Skovde;Vasteras Irsta HF;43:24;43;24;1.03;9.99;9.99;vusT0vMO;H
Elitserien 2004/2005;21/02/2005;Hammarby;Heid;36:22;36;22;1.04;9.99;9.99;EXe36rhm;H
Elitserien 2004/2005;21/02/2005;Kroppskultur;Savehof;29:37;29;37;3.95;9.99;1.27;ddo8527g;A
Handbollsligan 2017/2018;25/01/2018;Lugi;Karlskrona;27:23;27;23;1.10;15.77;8.81;vBXnsy9C;H
Handbollsligan 2017/2018;09/02/2018;Ystads IF;Guif;29:28;29;28;1.66;8.67;2.69;dSySoafs;H
Handbollsligan 2017/2018;07/02/2018;Helsingborg;Ricoh;18:24;18;24;2.67;8.07;1.69;vBeeiLWJ;A
Handbollsligan 2017/2018;07/02/2018;Savehof;Redbergslids;34:29;34;29;1.98;8.11;2.18;rqvvqcv0;H
Handbollsligan 2017/2018;06/02/2018;Aranas;Alingsas;16:25;16;25;10.04;14.97;1.09;4huzpwPg;A
Handbollsligan 2017/2018;06/02/2018;Karlskrona;Kristianstad;31:32;31;32;12.25;19.32;1.05;Q77DSyfJ;A
Handbollsligan 2017/2018;05/02/2018;Hammarby;Malmo;31:26;31;26;3.64;9.15;1.42;joaajunQ;H
Handbollsligan 2017/2018;05/02/2018;Skovde;Lugi;30:32;30;32;3.01;8.52;1.56;zJzWpJ9m;A
Handbollsligan 2017/2018;03/02/2018;Ricoh;Hammarby;25:28;25;28;1.81;8.06;2.44;dAM5CvMB;A
Handbollsligan 2017/2018;02/02/2018;Alingsas;Skovde;25:24;25;24;1.13;15.16;7.37;dSFdWJff;H
Elitserien 2015/2016;01/03/2016;Malmo;Savehof;29:28;29;28;1.56;9.33;2.93;hrqAwXFO;H
Elitserien 2015/2016;29/02/2016;Lugi;Kristianstad;23:22;23;22;3.79;10.27;1.37;t8u6vD0I;H
Elitserien 2015/2016;27/02/2016;Drott;Malmo;26:36;26;36;6.73;13.31;1.16;jJngsFGa;A
Elitserien 2015/2016;27/02/2016;Guif;Alingsas;23:23;23;23;2.98;9.16;1.55;KhictZV5;D
Elitserien 2015/2016;25/02/2016;Ricoh;Redbergslids;25:26;25;26;3.16;9.59;1.50;G0ftpHWt;A
Elitserien 2015/2016;25/02/2016;Skovde;Aranas;24:27;24;27;1.53;9.47;3.04;U3bpqynm;A
Elitserien 2015/2016;24/02/2016;Savehof;Hammarby;27:28;27;28;1.40;10.06;3.61;bqj1ugoC;A
Elitserien 2015/2016;24/02/2016;Ystads IF;Karlskrona;34:23;34;23;1.12;14.00;7.90;CSmkre1g;H
Elitserien 2015/2016;21/02/2016;Hammarby;Malmo;24:24;24;24;1.85;8.75;2.30;pEX82Pn8;D
Elitserien 2015/2016;21/02/2016;Karlskrona;Ricoh;23:23;23;23;1.82;8.88;2.35;O4WC1q2E;D
Elitserien 2013/2014;02/03/2014;Hammarby;Ystads IF;24:23;24;23;1.46;9.64;3.29;KI09NnOl;H
Elitserien 2013/2014;02/03/2014;Onnereds;Guif;22:26;22;26;7.47;13.75;1.13;YL4DM6we;A
Elitserien 2013/2014;01/03/2014;Kristianstad;Lugi;20:18;20;18;1.47;9.75;3.20;dGqm0DRG;H
Elitserien 2013/2014;27/02/2014;Skovde;Lund;25:21;25;21;1.28;11.15;4.43;rybtUloL;H
Elitserien 2013/2014;26/02/2014;Drott;Alingsas;20:36;20;36;2.39;8.78;1.77;ANaYVAG8;A
Elitserien 2013/2014;26/02/2014;Lugi;Hammarby;27:28;27;28;1.22;11.62;5.39;EeWqPvrd;A
Elitserien 2013/2014;26/02/2014;Malmo;Onnereds;28:25;28;25;1.04;17.29;13.44;hnVmObc2;H
Elitserien 2013/2014;26/02/2014;Rimbo;Kristianstad;28:32;28;32;13.98;18.48;1.03;OnFwT80R;A
Elitserien 2013/2014;26/02/2014;Savehof;Guif;24:28;24;28;1.63;8.97;2.71;4paxVUVE;A
Elitserien 2011/2012;22/02/2012;Lund;Ystads IF;21:31;21;31;3.00;9.76;1.50;GQ2o0Pn6;A
Elitserien 2011/2012;22/02/2012;Malmo;Drott;27:25;27;25;1.56;9.76;2.80;QB6k9TPJ;H
Elitserien 2011/2012;22/02/2012;Savehof;Lugi;28:17;28;17;1.24;11.70;4.69;jgjU1oIg;H
Elitserien 2011/2012;19/02/2012;Drott;Hammarby;27:30;27;30;1.20;12.23;5.32;8jfappmJ;A
Elitserien 2011/2012;19/02/2012;Ystads IF;Kristianstad;30:27;30;27;1.46;10.06;3.15;CO0jn6I6;H
Elitserien 2011/2012;17/02/2012;Aranas;Malmo;26:32;26;32;2.10;8.55;1.96;YX1nmn30;A
Elitserien 2011/2012;15/02/2012;Lugi;Lund;28:29;28;29;1.29;11.12;4.26;vRpRklJs;A
Elitserien 2011/2012;15/02/2012;Redbergslids;Alingsas;23:20;23;20;2.74;9.58;1.59;vB2rlSmf;H
Elitserien 2011/2012;15/02/2012;Skovde;Guif;31:31;31;31;2.17;8.74;1.90;MkzWl8Ym;D
Elitserien 2011/2012;15/02/2012;Tumba;Savehof;31:37;31;37;5.26;12.69;1.20;UaeeoQXC;A
Elitserien 2010/2011;23/02/2011;Redbergslids;Alingsas;29:23;29;23;;;;xnp5oK5D;H
Elitserien 2010/2011;23/02/2011;Skovde;Hammarby;19:25;19;25;;;;4KWcmty1;A
Elitserien 2010/2011;20/02/2011;Alingsas;Lindesberg;27:28;27;28;;;;84TAfOrR;A
