,favorite,predicted,winner,odds_1,odds_x,odds_2,prob_1,prob_x,prob_2
246,Away,Away,Home,2.73,9.8,1.57,0.35819998383522034,0.0934106633067131,0.5483893752098083
247,Home,Home,Home,1.79,9.17,2.26,0.5111144185066223,0.09961000084877014,0.3892756402492523
248,Away,Away,Away,2.7,9.82,1.56,0.3600936830043793,0.09217235445976257,0.5477340221405029
249,Home,Home,Away,1.68,9.64,2.48,0.5484283566474915,0.08845143020153046,0.3631201982498169
250,Home,Home,Home,1.1,14.89,7.73,0.9138625860214233,0.01670539751648903,0.06943194568157196
251,Home,Home,Home,1.26,11.24,4.92,0.7916118502616882,0.05924154818058014,0.14914654195308685
252,Away,Away,Home,3.31,11.5,1.41,0.3001948297023773,0.06467042118310928,0.635134756565094
253,Home,Home,Draw,1.49,10.61,2.92,0.6182472705841064,0.06866458058357239,0.3130881190299988
254,Home,Home,Home,1.54,9.91,2.85,0.6001399755477905,0.08281388878822327,0.3170461058616638
255,Away,Away,Away,7.02,11.0,1.12,0.15937194228172302,0.10650960355997086,0.7341184020042419
256,Away,Away,Away,3.06,9.6,1.52,0.3262360394001007,0.10324031859636307,0.5705236792564392
257,Home,Home,Draw,1.96,8.77,2.15,0.4789706766605377,0.11310478299856186,0.4079245328903198
258,Away,Away,Away,3.79,10.49,1.36,0.27337223291397095,0.08837524056434631,0.6382525563240051
259,Away,Away,Draw,3.95,10.22,1.36,0.2663164436817169,0.0965714305639267,0.6371121406555176
260,Away,Away,Away,2.38,8.95,1.77,0.4032985270023346,0.11191578954458237,0.48478561639785767
261,Home,Home,Away,1.13,10.66,6.34,0.8271818161010742,0.05331803858280182,0.11950011551380157
262,Away,Away,Away,9.26,14.37,1.1,0.09720993041992188,0.05610717087984085,0.8466829657554626
263,Home,Home,Home,1.83,7.95,2.41,0.504503071308136,0.13858087360858917,0.35691601037979126
264,Home,Home,Home,1.1,9.99,7.25,0.8309453725814819,0.05189075320959091,0.11716380715370178
265,Home,Home,Home,1.09,15.06,9.1,0.9310013651847839,0.01322411559522152,0.055774565786123276
266,Away,Away,Away,2.13,9.01,1.9,0.44062572717666626,0.1066415086388588,0.4527326822280884
267,Away,Away,Away,2.45,9.99,1.62,0.39005136489868164,0.08480183780193329,0.5251469016075134
268,Away,Away,Away,3.83,10.36,1.37,0.272548109292984,0.09202467650175095,0.6354272365570068
269,Home,Home,Home,1.04,17.66,14.21,0.970917284488678,0.0027650680858641863,0.02631763182580471
270,Home,Home,Home,1.21,11.93,5.7,0.8333495855331421,0.04572988674044609,0.12092053890228271
271,Home,Home,Home,1.29,10.51,4.08,0.7309873700141907,0.07185165584087372,0.19716094434261322
272,Home,Home,Away,1.37,10.74,3.53,0.6844922304153442,0.06737496703863144,0.24813280999660492
273,Home,Home,Draw,1.81,9.4,2.26,0.5115641951560974,0.09449690580368042,0.39393892884254456
274,Home,Home,Home,1.02,17.36,14.14,0.9694417715072632,0.0029389644041657448,0.02761918306350708
